Time Taken 1,Time Taken 2,Time Taken 3,Time Taken 4,Time Taken 5,Time Taken 6,Time Taken 7,Time Taken 8,Time Taken 9,Time Taken 10,Time Taken 11,Time Taken 12,Time Taken 13,Time Taken 14
0.164460659,0.176640987,0.150061131,0.156919479,0.149979115,0.163042307,0.149493933,0.164503336,0.161405087,0.1509552,0.151055336,0.152353764,0.167072773,0.159945965
0.172147751,0.161460638,0.168609142,0.171063662,0.15756917,0.172307491,0.159194946,0.178925276,0.168549538,0.159001589,0.171456575,0.200487614,0.158477545,0.163119078
0.17982173,0.188671589,0.180104494,0.180081606,0.166892052,0.180646181,0.173345089,0.216622591,0.178209066,0.169922113,0.168733358,0.167476416,0.180235386,0.175051451
0.191292524,0.192428112,0.17399478,0.18993783,0.174509764,0.192743063,0.187900782,0.194414377,0.187012196,0.186758041,0.18609333,0.176308632,0.184035301,0.188821554
0.198660612,0.189971924,0.181814432,0.194717646,0.192689419,0.202192783,0.199706316,0.202831507,0.197147369,0.196987629,0.197474241,0.187890768,0.199116707,0.197910547
0.20531559,0.190855503,0.192085743,0.207317829,0.192988634,0.211119175,0.213200808,0.204951048,0.207630396,0.217435122,0.202913284,0.196116924,0.209812641,0.207224607
0.214735508,0.203043699,0.203478575,0.216414452,0.205271482,0.224651814,0.21624732,0.229560375,0.214449644,0.232983589,0.219270468,0.211984873,0.21401453,0.213696718
0.22713995,0.227005005,0.223064661,0.224686861,0.209689617,0.229683399,0.229866505,0.229571342,0.22367692,0.231462002,0.226439953,0.226634264,0.226913929,0.226269245
0.24971199,0.222357035,0.220456839,0.232779741,0.223736286,0.241286516,0.247759581,0.240990877,0.246934414,0.234578609,0.258170128,0.227523088,0.235140085,0.242650032
0.265580654,0.233594179,0.235059261,0.243505001,0.233465672,0.27895999,0.269771099,0.246881008,0.253873825,0.252367258,0.249089241,0.25291729,0.247647047,0.257384539
0.27670455,0.242980003,0.242742062,0.256712675,0.254445553,0.270036459,0.263888597,0.267843008,0.265118361,0.263346672,0.261601925,0.271008015,0.258437634,0.26600337
0.281892776,0.252075911,0.256419659,0.275169373,0.252811193,0.279669046,0.277073145,0.290136099,0.280955791,0.276103735,0.274878502,0.2847507,0.271231413,0.276913404
0.288635969,0.266250849,0.264354229,0.281630516,0.265933752,0.289606094,0.287371397,0.305991173,0.278267384,0.284982204,0.281206369,0.291180849,0.294353962,0.284265041
0.318955183,0.278282166,0.280254841,0.304729223,0.2757833,0.303933144,0.302178383,0.325831652,0.298926353,0.292427301,0.293340206,0.309051037,0.320967674,0.302005768
0.30982399,0.288407803,0.309369802,0.314146042,0.288573265,0.307572842,0.310381889,0.333990812,0.316265345,0.309726715,0.314635754,0.318175554,0.312451601,0.307866096
0.377175808,0.304154873,0.304853678,0.362434626,0.306497574,0.320118427,0.327440023,0.338000774,0.328604937,0.355675936,0.319776297,0.331617832,0.32263422,0.356016159
0.334906578,0.315745831,0.312903166,0.329112768,0.313182354,0.337856293,0.343620539,0.342237711,0.34290719,0.348092318,0.341581106,0.336131811,0.343860149,0.339555264
0.348053455,0.328145981,0.334966183,0.332714796,0.326869726,0.366219997,0.349014759,0.365067005,0.361740112,0.355532646,0.348942041,0.359216452,0.353149176,0.375253439
